addon,folders,files,api_refs,missing_names,missing_uses,compat_pct,top_missing
TwintopInsanityBar,1,128,1533,0,0,100.0,
NorthernSkyRaidTools,2,105,1001,0,0,100.0,
Leatrix_Plus,1,5,820,0,0,100.0,
SentinelHunterTools,1,36,699,0,0,100.0,
CraftSim,1,173,641,0,0,100.0,
LittleWigs,12,903,614,0,0,100.0,
CooldownManagerCentered,1,66,506,0,0,100.0,
RareScanner,1,151,479,0,0,100.0,
WorldQuestsList,1,6,444,0,0,100.0,
MythicDungeonTools,2,69,303,0,0,100.0,
Hindsight,1,20,255,0,0,100.0,
TalentTreeTweaks,1,39,245,0,0,100.0,
DelveGuide,1,20,230,0,0,100.0,
KeystoneLoot,1,65,220,0,0,100.0,
Storyline,1,15,207,0,0,100.0,
MyusKnowledgePointsTracker,1,17,193,0,0,100.0,
UltimateMouseCursor,1,2,189,0,0,100.0,
GTFO,1,65,188,0,0,100.0,
HomeBound,1,4,154,0,0,100.0,
FollowTheArrow,1,38,133,0,0,100.0,
Dystinct_EarthenSkyriding,1,34,127,0,0,100.0,
BountifulDelvesHunter-Midnight,1,4,108,0,0,100.0,
AztarecHelper,1,12,98,0,0,100.0,
CoTankAuras,1,7,84,0,0,100.0,
CrossGambling,1,33,71,0,0,100.0,
CursedSurgeTracker,1,1,66,0,0,100.0,
MythicPlusUtility,1,22,63,0,0,100.0,
TomTom,1,24,60,0,0,100.0,
SpeedyAutoLoot,1,2,56,0,0,100.0,
GatherMate2,4,17,52,0,0,100.0,
AccountPlayed,1,5,46,0,0,100.0,
MidnightMarketMaster,1,6,44,0,0,100.0,
CallToArms,1,16,43,0,0,100.0,
Preydator,1,39,41,0,0,100.0,
ArmsCoach,1,5,39,0,0,100.0,
TalentSwapper,1,3,39,0,0,100.0,
AutoQueue,1,2,36,0,0,100.0,
MythicPlusTimer,1,9,36,0,0,100.0,
BugSack,1,6,29,0,0,100.0,
CityGuide,1,17,28,0,0,100.0,
Midnightcheck,1,2,26,0,0,100.0,
MDTGuide,1,6,24,0,0,100.0,
!ArchonLogger,1,2,21,0,0,100.0,
TankAggroBar,1,2,17,0,0,100.0,
MDT_Legacy,1,82,13,0,0,100.0,
!BugGrabber,1,1,10,0,0,100.0,
AutoCombatLogger,1,17,6,0,0,100.0,
MinimapButtonButton,1,23,3,0,0,100.0,
.claude,1,0,0,0,0,100.0,
HandyNotes,4,137,818,1,1,99.9,IsCosmeticItem x1
APR,1,120,652,1,1,99.8,C_Timer.Cancel x1
ClassCodex,1,64,516,1,1,99.8,C_SpellBook.GetSpellInfo x1
ProfessionShoppingList,1,24,466,1,1,99.8,GetCoinTextureString x1
DejaCharacterStats,1,21,253,1,1,99.6,GetCoinTextureString x1
LariasWeeklyChecklist,1,31,193,1,1,99.5,IsQuestFlaggedCompleted x1
ArchonTooltip,2,506,154,1,1,99.4,C_Seasons.GetActiveSeason x1
QuestCompletist,1,16,140,1,2,98.6,GetMapNameByID x2
Simulationcraft,1,3,59,1,1,98.3,GetTalentInfo x1
FarmHud,1,9,58,1,1,98.3,SetShown x1
Routes,1,17,46,1,1,97.8,GetTrackingTexture x1
TwitchEmotes,1,5,21,1,2,90.5,SetupAutoComplete x2
NightPulse,1,7,16,1,1,93.8,C_ChallengeMode.GetCompletionInfo x1
totalRP3,2,190,694,2,3,99.6,"GetChannelRosterInfo x2, GetStablePetInfo x1"
GSE,5,65,672,2,2,99.7,"SetClipboard x1, GetSpellBookItemInfo x1"
MidnightRoutine,1,70,555,2,3,99.5,"C_TaskQuest.GetQuestsForPlayerByMapID x2, C_DateAndTime.GetHolidayInfo x1"
SilverDragon,4,172,540,2,3,99.4,"GetFactionInfoByID x2, IsCosmeticItem x1"
